concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
45756338	443532	Maps to	20161201	20991231	
45756687	43021248	Maps to	20181128	20991231	
45769376	45769376	Maps to	20150131	20991231	
42617853	138841	Maps to	20220809	20991231	
45571333	37312598	Maps to	20220809	20991231	
45595924	4195305	Maps to	20210204	20991231	
45534351	437090	Maps to	19700101	20991231	
45534391	36716270	Maps to	20191031	20991231	
45537626	4275113	Maps to	20141010	20991231	
45537801	438693	Maps to	20181128	20991231	
45538883	42538151	Maps to	20181128	20991231	
45541297	73925	Maps to	20140701	20991231	
45542399	4183687	Maps to	20181128	20991231	
45542421	4087235	Maps to	20141014	20991231	
45547324	4021166	Maps to	20181128	20991231	
45547326	4074915	Maps to	20181128	20991231	
45547477	40478938	Maps to	20161201	20991231	
45547636	442793	Maps to	20141010	20991231	
45548347	37110367	Maps to	20181128	20991231	
45548637	4069320	Maps to	19700101	20991231	
45548946	314754	Maps to	19700101	20991231	
45553678	36717640	Maps to	20181128	20991231	
45555887	4020584	Maps to	20140701	20991231	
45557591	312337	Maps to	19700101	20991231	
45558370	46270041	Maps to	20161201	20991231	
45561768	139737	Maps to	19700101	20991231	
45562345	258449	Maps to	19700101	20991231	
45563237	4178668	Maps to	20181128	20991231	
45563277	73866	Maps to	19700101	20991231	
45567175	4124693	Maps to	20140701	20991231	
45567325	200763	Maps to	19700101	20991231	
45571482	45757246	Maps to	20161201	20991231	
45571560	434881	Maps to	20141010	20991231	
45572973	4003487	Maps to	20131121	20991231	
45573001	4006586	Maps to	19700101	20991231	
45573299	4043346	Maps to	20181128	20991231	
45575244	433919	Maps to	20140701	20991231	
45575538	36712821	Maps to	20181128	20991231	
45576392	28115	Maps to	19700101	20991231	
45577156	4114427	Maps to	20141014	20991231	
45577695	4103235	Maps to	19700101	20991231	
45577813	4005185	Maps to	20161201	20991231	
45581181	440043	Maps to	20140701	20991231	
45581726	381301	Maps to	20140701	20991231	
45582644	4119774	Maps to	20161201	20991231	
45584815	4138484	Maps to	20181128	20991231	
45586175	438721	Maps to	20140701	20991231	
45586782	4274633	Maps to	19700101	20991231	
45587248	197605	Maps to	20140701	20991231	
45587415	4070533	Maps to	20141010	20991231	
45587473	435653	Maps to	20140701	20991231	
45592395	73866	Maps to	20140701	20991231	
45596203	312653	Maps to	19700101	20991231	
45596839	4069953	Maps to	20141010	20991231	
45597185	4168212	Maps to	19700101	20991231	
45600342	43020487	Maps to	20131121	20991231	
45600430	434872	Maps to	19700101	20991231	
45600448	439674	Maps to	19700101	20991231	
45600459	4151843	Maps to	19700101	20991231	
45600477	439738	Maps to	20181128	20991231	
45601974	74472	Maps to	20141010	20991231	
45605338	133725	Maps to	19700101	20991231	
45605381	4220074	Maps to	19700101	20991231	
45605499	439002	Maps to	20140701	20991231	
45755426	378161	Maps to	20141010	20991231	
45755829	436539	Maps to	20141010	20991231	
45755934	77124	Maps to	20141010	20991231	
45755938	436839	Maps to	20141010	20991231	
45756293	440607	Maps to	20161201	20991231	
45756404	4161344	Maps to	20141010	20991231	
42619239	4287786	Maps to	20240201	20991231	
45597044	74716	Maps to	20161201	20991231	
45568067	4042407	Maps to	20140701	20991231	
45585909	4241454	Maps to	20240729	20991231	
45592550	4095860	Maps to	20240729	20991231	
45537000	42536383	Maps to	20240729	20991231	
710697	40493247	Maps to	20220809	20991231	
3655627	3655627	Maps to	20200731	20991231	
42618451	4117779	Maps to	20210204	20991231	
45532807	133685	Maps to	20140701	20991231	
45532900	76914	Maps to	20181128	20991231	
45533831	80488	Maps to	19700101	20991231	
45534356	436670	Maps to	20181128	20991231	
45538490	4256228	Maps to	20140701	20991231	
45539187	4273560	Maps to	20140701	20991231	
45541985	444074	Maps to	20181128	20991231	
45541989	437738	Maps to	20161201	20991231	
45541989	444074	Maps to	20181128	20991231	
45542620	438095	Maps to	20140701	20991231	
45543120	45766332	Maps to	20181128	20991231	
45543373	40481101	Maps to	20191031	20991231	
45547647	436658	Maps to	20140701	20991231	
45552244	438692	Maps to	20181128	20991231	
45553591	199089	Maps to	19700101	20991231	
45557125	4184338	Maps to	19700101	20991231	
45557388	4197154	Maps to	20140701	20991231	
45560614	4059565	Maps to	20190515	20991231	
45561297	444074	Maps to	20181128	20991231	
45561755	433134	Maps to	20140701	20991231	
45561992	4079687	Maps to	19700101	20991231	
45565907	4108943	Maps to	20141010	20991231	
45566031	444074	Maps to	20181128	20991231	
45566036	444074	Maps to	20181128	20991231	
45566944	432910	Maps to	20140701	20991231	
45567669	4067765	Maps to	20141014	20991231	
45568598	4054060	Maps to	20140701	20991231	
45571281	438046	Maps to	20181128	20991231	
45571442	4080602	Maps to	20140701	20991231	
45572276	4166058	Maps to	19700101	20991231	
45572799	442088	Maps to	20161201	20991231	
45574851	4097962	Maps to	20161201	20991231	
45575016	4097962	Maps to	20141014	20991231	
45575734	444074	Maps to	20181128	20991231	
45575734	4152175	Maps to	20181128	20991231	
45580470	4125659	Maps to	20181128	20991231	
45580537	434228	Maps to	20181128	20991231	
45580537	437738	Maps to	20181128	20991231	
45580537	438310	Maps to	20181128	20991231	
45581908	36717183	Maps to	20181128	20991231	
45582429	4141640	Maps to	20181128	20991231	
45585752	440309	Maps to	20141014	20991231	
45587458	193807	Maps to	20181128	20991231	
45587458	4008737	Maps to	20161201	20991231	
45588185	4136718	Maps to	20140701	20991231	
45590555	4219484	Maps to	20181128	20991231	
45590833	373408	Maps to	19700101	20991231	
45590962	4003834	Maps to	19700101	20991231	
45591059	37206102	Maps to	20191031	20991231	
45593608	37117266	Maps to	20181128	20991231	
45595019	434228	Maps to	20181128	20991231	
45595219	4297371	Maps to	20140701	20991231	
45595431	4304736	Maps to	20181128	20991231	
45595443	438046	Maps to	20181128	20991231	
45595616	433968	Maps to	20191031	20991231	
45596267	201322	Maps to	20141010	20991231	
45596345	443785	Maps to	20140701	20991231	
45596408	4201438	Maps to	20140701	20991231	
