sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:sourceConceptId,ADD_INFO:sourceName_fi,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:obsolete_conceptId,ADD_INFO:autoUpdatingInfo
e-mcv[fl],e-mcv[fl],4330862,,2002400001,"E -Erytrosyytit, keskitilavuus",LABfi_ALL Level 0,Measurement,1970-01-01,2099-12-31,0,APPROVED,UNREVIEWED,FinOMOP,1717545600000,3024731,MCV [Entitic volume],Measurement,MAPS_TO,,Javier,1717545600000,,,
e-mch[pg],e-mch[pg],4324399,,2002400002,"E -Hemoglobiini, keskimassa",LABfi_ALL Level 0,Measurement,1970-01-01,2099-12-31,0,APPROVED,UNREVIEWED,FinOMOP,1717545600000,3035941,MCH [Entitic mass],Measurement,MAPS_TO,,Javier,1717545600000,,,
